,year,title,rating
0,2019,The Irishman,1.0
1,2019,1917,0.0
2,2019,Joker,3.0
3,2019,Once Upon a Time... in Hollywood,3.0
4,2019,Ford v Ferrari,0.0
5,2019,Marriage Story,2.0
6,2019,Little Women,3.0
7,2019,Jojo Rabbit,3.0
8,2019,Parasite,3.0
9,2018,Roma,3.0
10,2018,The Favourite,3.0
11,2018,Black Panther,3.0
12,2018,A Star Is Born,3.0
13,2018,BlacKkKlansman,3.0
14,2018,Bohemian Rhapsody,2.0
15,2018,Vice,2.0
16,2018,Green Book,1.0
17,2017,Three Billboards Outside Ebbing,3.0
18,2017,Missouri; Dunkirk,3.0
19,2017,Lady Bird,3.0
20,2017,Get Out,3.0
21,2017,The Post,3.0
22,2017,Darkest Hour,2.0
23,2017,Call Me by Your Name,3.0
24,2017,Phantom Thread,3.0
25,2017,The Shape of Water,3.0
26,2016,La La Land,3.0
27,2016,Manchester by the Sea,3.0
28,2016,Hidden Figures: The Untold Story of the African American Women Who Helped win the Space Race,3.0
29,2016,Fences,3.0
30,2016,Arrival,3.0
31,2016,Hacksaw Ridge,1.0
32,2016,Hell or High Water,1.0
33,2016,Lion,3.0
34,2016,Moonlight,1.0
35,2015,The Revenant,0.0
36,2015,The Big Short,1.0
37,2015,The Martian,3.0
38,2015,Mad Max: Fury Road,3.0
39,2015,Room,3.0
40,2015,Bridge of Spies,1.0
41,2015,Brooklyn,3.0
42,2015,Spotlight,1.0
43,2014,American Sniper,1.0
44,2014,Boyhood,3.0
45,2014,The Grand Budapest Hotel,1.0
46,2014,The Imitation Game,2.0
47,2014,Selma,3.0
48,2014,The Theory of Everything,3.0
49,2014,Whiplash,1.0
50,2014,Birdman or (The Unexpected Virtue of Ignorance),3.0
51,2013,Gravity,0.0
52,2013,American Hustle,3.0
53,2013,Dallas Buyers Club,3.0
54,2013,Her,3.0
55,2013,Philomena,3.0
56,2013,The Wolf of Wall Street,3.0
57,2013,Captain Phillips,1.0
58,2013,Nebraska,3.0
59,2013,12 Years a Slave,3.0
60,2012,Lincoln,3.0
61,2012,Zero Dark Thirty,3.0
62,2012,Les MisÃ©rables,3.0
63,2012,Life of Pi,1.0
64,2012,Silver Linings Playbook,3.0
65,2012,Django Unchained,1.0
66,2012,Amour,3.0
67,2012,Beasts of the Southern Wild,3.0
68,2012,Argo,3.0
69,2011,The Tree of Life,0.0
70,2011,The Help,3.0
71,2011,The Descendants,3.0
72,2011,Hugo,3.0
73,2011,Midnight in Paris,3.0
74,2011,Moneyball,1.0
75,2011,War Horse,1.0
76,2011,Extremely Loud & Incredibly Close,2.0
77,2011,The Artist,1.0
78,2010,The Social Network,1.0
79,2010,Inception,3.0
80,2010,127 Hours,3.0
81,2010,Black Swan,3.0
82,2010,The Fighter,2.0
83,2010,The Kids Are All Right,3.0
84,2010,Toy Story 3,3.0
85,2010,True Grit,3.0
86,2010,Winter’s Bone,3.0
87,2010,The King’s Speech,3.0
88,2009,Avatar,2.0
89,2009,The Blind Side,2.0
90,2009,District 9,1.0
91,2009,An Education,3.0
92,2009,Inglourious Basterds,3.0
93,2009,Precious: Based on the Novel Push by Sapphire,3.0
94,2009,A Serious Man,2.0
95,2009,Up,3.0
96,2009,Up in the Air,2.0
97,2009,The Hurt Locker,1.0
