,titles,years,imdb_ids,rating
0,Parasite,2019,6751668,3.0
1,Green Book,2018,6966692,1.0
2,The Shape of Water,2017,5580390,3.0
3,Moonlight,2016,4975722,1.0
4,Spotlight,2015,1895587,1.0
5,Birdman or (The Unexpected Virtue of Ignorance),2014,2562232,3.0
6,12 Years a Slave,2013,2024544,3.0
7,Argo,2012,1024648,3.0
8,The Artist,2011,1655442,1.0
9,The King's Speech,2010,1504320,3.0
10,Slumdog Millionaire,2008,1010048,1.0
11,The Hurt Locker,2008,0887912,1.0
12,No Country for Old Men,2007,0477348,3.0
13,The Departed,2006,0407887,1.0
14,Million Dollar Baby,2004,0405159,3.0
15,Crash,2004,0375679,3.0
16,The Lord of the Rings: The Return of the King,2003,0167260,1.0
17,Chicago,2002,0299658,3.0
18,A Beautiful Mind,2001,0268978,1.0
19,Gladiator,2000,0172495,0.0
20,American Beauty,1999,0169547,3.0
21,Shakespeare in Love,1998,0138097,3.0
22,Titanic,1997,0120338,3.0
23,The English Patient,1996,0116209,3.0
24,Braveheart,1995,0112573,2.0
25,Forrest Gump,1994,0109830,1.0
26,Schindler's List,1993,0108052,3.0
27,Unforgiven,1992,0105695,3.0
28,The Silence of the Lambs,1991,0102926,3.0
29,Dances with Wolves,1990,0099348,1.0
30,Driving Miss Daisy,1989,0097239,3.0
31,Rain Man,1988,0095953,1.0
32,The Last Emperor,1987,0093389,3.0
33,Platoon,1986,0091763,0.0
34,Out of Africa,1985,0089755,3.0
35,Amadeus,1984,0086879,3.0
36,Terms of Endearment,1983,0086425,1.0
37,Gandhi,1982,0083987,
38,Chariots of Fire,1981,0082158,1.0
39,Ordinary People,1980,0081283,2.0
40,Kramer vs. Kramer,1979,0079417,1.0
41,The Deer Hunter,1978,0077416,1.0
42,Annie Hall,1977,0075686,3.0
43,Rocky,1976,0075148,1.0
44,One Flew Over the Cuckoo's Nest,1975,0073486,2.0
45,The Godfather: Part II,1974,0071562,2.0
46,The Sting,1973,0070735,1.0
47,The Godfather,1972,0068646,2.0
48,The French Connection,1971,0067116,1.0
49,Patton,1970,0066206,
50,Midnight Cowboy,1969,0064665,1.0
51,Oliver!,1968,0063385,
52,In the Heat of the Night,1967,0061811,1.0
53,A Man for All Seasons,1966,0060665,1.0
54,The Sound of Music,1965,0059742,3.0
55,My Fair Lady,1964,0058385,3.0
56,Tom Jones,1963,0057590,3.0
57,Lawrence of Arabia,1962,0056172,0.0
58,West Side Story,1961,0055614,3.0
59,The Apartment,1960,0053604,3.0
60,Ben-Hur,1959,0052618,3.0
61,Gigi,1958,0051658,2.0
62,The Bridge on the River Kwai,1957,0050212,1.0
63,Around the World in 80 Days,1956,0048960,0.0
64,Marty,1955,0048356,3.0
65,On the Waterfront,1954,0047296,0.0
66,From Here to Eternity,1953,0045793,3.0
67,The Greatest Show on Earth,1952,0044672,
68,An American in Paris,1951,0043278,1.0
69,All About Eve,1950,0042192,3.0
70,All the King's Men,1949,0041113,
71,Hamlet,1948,0040416,1.0
72,Gentleman's Agreement,1947,0039416,
73,The Best Years of Our Lives,1946,0036868,2.0
74,The Lost Weekend,1945,0037884,2.0
75,Going My Way,1944,0036872,
76,Mrs. Miniver,1942,0035093,3.0
77,Casablanca,1942,0034583,1.0
78,How Green Was My Valley,1941,0033729,3.0
79,Rebecca,1940,0032976,3.0
80,Gone with the Wind,1939,0031381,3.0
81,You Can't Take It with You,1938,0030993,
82,The Life of Emile Zola,1937,0029146,1.0
83,The Great Ziegfeld,1936,0027698,3.0
84,Mutiny on the Bounty,1935,0026752,1.0
85,It Happened One Night,1934,0025316,3.0
86,Cavalcade,1933,0023876,3.0
87,Grand Hotel,1932,0022958,3.0
88,Cimarron,1931,0021746,3.0
89,All Quiet on the Western Front,1930,0020629,0.0
90,The Broadway Melody,1929,0019729,3.0
91,Wings,1927,0018578,1.0
92,Sunrise: A Song of Two Humans,1927,0018455,2.0
