,title,year,rating
0,Black Panther,2018,3.0
1,Avengers: Infinity War,2018,3.0
2,Incredibles 2,2018,3.0
3,Jurassic World: Fallen Kingdom,2018,3.0
4,Deadpool 2,2018,2.0
5,Mission: Impossible - Fallout,2018,1.0
6,Ant-Man and the Wasp,2018,3.0
7,Solo: A Star Wars Story,2018,2.0
8,Venom,2018,1.0
9,A Star is Born ,2018,3.0
10,Star Wars: The Last Jedi,2017,3.0
11,Beauty and the Beast ,2017,3.0
12,Wonder Woman,2017,3.0
13,Jumanji: Welcome to the Jungle,2017,3.0
14,Guardians of the Galaxy Vol. 2,2017,3.0
15,Spider-Man: Homecoming,2017,3.0
16,It,2017,3.0
17,Thor: Ragnarok,2017,1.0
18,Despicable Me 3,2017,3.0
19,Justice League,2017,3.0
20,Rogue One: A Star Wars Story,2016,3.0
21,Finding Dory,2016,3.0
22,Captain America: Civil War,2016,3.0
23,The Secret Life of Pets,2016,2.0
24,The Jungle Book ,2016,2.0
25,Deadpool,2016,1.0
26,Zootopia,2016,3.0
27,Batman v Superman: Dawn of Justice,2016,2.0
28,Suicide Squad,2016,3.0
29,Sing,2016,3.0
30,Star Wars: The Force Awakens,2015,3.0
31,Jurassic World,2015,3.0
32,Avengers: Age of Ultron,2015,3.0
33,Inside Out,2015,3.0
34,Furious 7,2015,3.0
35,Minions,2015,3.0
36,The Hunger Games: Mockingjay - Part 2,2015,3.0
37,The Martian,2015,3.0
38,Cinderella,2015,3.0
39,Spectre,2015,1.0
40,Transformers: Age of Extinction,2014,3.0
41,The Hobbit: The Battle of the Five Armies,2014,1.0
42,Guardians of the Galaxy,2014,3.0
43,Maleficent,2014,3.0
44,The Hunger Games: Mockingjay - Part 1,2014,3.0
45,X-Men: Days of Future Past,2014,1.0
46,Captain America: The Winter Soldier,2014,3.0
47,The Amazing Spider-Man 2,2014,1.0
48,Dawn of the Planet of the Apes,2014,1.0
49,Interstellar,2014,3.0
50,Frozen,2013,3.0
51,Iron Man 3,2013,3.0
52,Despicable Me 2,2013,3.0
53,The Hobbit: The Desolation of Smaug,2013,3.0
54,The Hunger Games: Catching Fire,2013,3.0
55,Fast & Furious 6,2013,3.0
56,Monsters University,2013,1.0
57,Gravity,2013,0.0
58,Man of Steel,2013,3.0
59,Thor: The Dark World,2013,3.0
60,The Avengers,2012,1.0
61,Skyfall,2012,3.0
62,The Dark Knight Rises,2012,1.0
63,The Hobbit: An Unexpected Journey,2012,0.0
64,Ice Age: Continental Drift,2012,
65,The Twilight Saga: Breaking Dawn - Part 2,2012,3.0
66,The Amazing Spider-Man,2012,2.0
67,Madagascar 3: Europe's Most Wanted,2012,2.0
68,The Hunger Games,2012,3.0
69,Men in Black 3,2012,1.0
70,Harry Potter and the Deathly Hallows - Part 2,2011,3.0
71,Transformers: Dark of the Moon,2011,3.0
72,Pirates of the Caribbean: On Stranger Tides,2011,1.0
73,The Twilight Saga: Breaking Dawn - Part 1,2011,3.0
74,Mission: Impossible - Ghost Protocol,2011,1.0
75,Kung Fu Panda 2,2011,3.0
76,Fast Five,2011,3.0
77,The Hangover Part II,2011,1.0
78,The Smurfs,2011,3.0
79,Cars 2,2011,2.0
80,Toy Story 3,2010,3.0
81,Alice in Wonderland,2010,3.0
82,Harry Potter and the Deathly Hallows - Part 1,2010,1.0
83,Inception,2010,3.0
84,Shrek Forever After,2010,1.0
85,The Twilight Saga: Eclipse,2010,3.0
86,Iron Man 2,2010,3.0
87,Tangled,2010,3.0
88,Despicable Me,2010,3.0
89,How to Train Your Dragon,2010,3.0
90,Avatar,2009,2.0
91,Harry Potter and the Half-Blood Prince,2009,3.0
92,Ice Age: Dawn of the Dinosaurs,2009,1.0
93,Transformers: Revenge of the Fallen,2009,3.0
94,2012,2009,1.0
95,Up,2009,3.0
96,The Twilight Saga: New Moon,2009,3.0
97,Sherlock Holmes,2009,1.0
98,Angels & Demons,2009,0.0
99,The Hangover,2009,1.0
100,The Dark Knight,2008,3.0
101,Indiana Jones and the Kingdom of the Crystal Skull,2008,1.0
102,Kung Fu Panda,2008,3.0
103,Hancock,2008,0.0
104,Mamma Mia!,2008,3.0
105,Madagascar: Escape 2 Africa,2008,
106,Quantum of Solace,2008,1.0
107,Iron Man,2008,2.0
108,WALL-E,2008,1.0
109,The Chronicles of Narnia: Prince Caspian,2008,3.0
110,Pirates of the Caribbean: At World's End,2007,3.0
111,Harry Potter and the Order of the Phoenix,2007,3.0
112,Spider-Man 3,2007,2.0
113,Shrek the Third,2007,3.0
114,Transformers,2007,3.0
115,Ratatouille,2007,1.0
116,I Am Legend,2007,3.0
117,The Simpsons Movie,2007,3.0
118,National Treasure: Book of Secrets,2007,
119,300,2007,0.0
120,Pirates of the Caribbean: Dead Man's Chest,2006,2.0
121,The Da Vinci Code,2006,1.0
122,Ice Age: The Meltdown,2006,1.0
123,Casino Royale,2006,1.0
124,Night at the Museum,2006,3.0
125,Cars,2006,1.0
126,X-Men: The Last Stand,2006,3.0
127,Mission: Impossible III,2006,1.0
128,Superman Returns,2006,1.0
129,Happy Feet,2006,3.0
130,Harry Potter and the Goblet of Fire,2005,1.0
131,Star Wars Episode III: Revenge of the Sith,2005,1.0
132,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,3.0
133,War of the Worlds,2005,3.0
134,King Kong,2005,0.0
135,Madagascar,2005,0.0
136,Mr. & Mrs. Smith,2005,2.0
137,Charlie and the Chocolate Factory,2005,3.0
138,Batman Begins,2005,1.0
139,Hitch,2005,2.0
140,Shrek 2,2004,3.0
141,Harry Potter and the Prisoner of Azkaban,2004,3.0
142,Spider-Man 2,2004,1.0
143,The Incredibles,2004,3.0
144,The Passion of the Christ,2004,3.0
145,The Day After Tomorrow,2004,3.0
146,Meet the Fockers,2004,3.0
147,Troy,2004,1.0
148,Shark Tale,2004,1.0
149,Ocean's Twelve,2004,2.0
150,The Lord of the Rings: The Return of the King,2003,1.0
151,Finding Nemo,2003,1.0
152,The Matrix Reloaded,2003,3.0
153,Pirates of the Caribbean: The Curse of the Black Pearl,2003,3.0
154,Bruce Almighty,2003,3.0
155,The Last Samurai,2003,0.0
156,Terminator 3: Rise of the Machines,2003,3.0
157,The Matrix Revolutions,2003,3.0
158,X2,2003,3.0
159,Bad Boys II,2003,
160,The Lord of the Rings: The Two Towers,2002,3.0
161,Harry Potter and the Chamber of Secrets,2002,3.0
162,Spider-Man,2002,1.0
163,Star Wars Episode II: Attack of the Clones,2002,3.0
164,Men in Black II,2002,1.0
165,Die Another Day,2002,2.0
166,Signs,2002,1.0
167,Ice Age,2002,0.0
168,My Big Fat Greek Wedding,2002,3.0
169,Minority Report,2002,1.0
170,Harry Potter and the Sorcerer's Stone,2001,3.0
171,The Lord of the Rings: The Fellowship of the Ring,2001,1.0
172,"Monsters, Inc.",2001,1.0
173,Shrek,2001,1.0
