,years,title
0,2019,The Irishman
1,2019,1917
2,2019,Joker
3,2019,Once Upon a Time... in Hollywood
4,2019,Ford v Ferrari
5,2019,Marriage Story
6,2019,Little Women
7,2019,Jojo Rabbit
8,2019,Parasite
9,2018,Roma
10,2018,The Favourite
11,2018,Black Panther
12,2018,A Star Is Born
13,2018,BlacKkKlansman
14,2018,Bohemian Rhapsody
15,2018,Vice
16,2018,Green Book
17,2017,Three Billboards Outside Ebbing
18,2017,Missouri; Dunkirk
19,2017,Lady Bird
20,2017,Get Out
21,2017,The Post
22,2017,Darkest Hour
23,2017,Call Me by Your Name
24,2017,Phantom Thread
25,2017,The Shape of Water
26,2016,La La Land
27,2016,Manchester by the Sea
28,2016,Hidden Figures: The Untold Story of the African American Women Who Helped win the Space Race
29,2016,Fences
30,2016,Arrival
31,2016,Hacksaw Ridge
32,2016,Hell or High Water
33,2016,Lion
34,2016,Moonlight
35,2015,The Revenant
36,2015,The Big Short
37,2015,The Martian
38,2015,Mad Max: Fury Road
39,2015,Room
40,2015,Bridge of Spies
41,2015,Brooklyn
42,2015,Spotlight
43,2014,American Sniper
44,2014,Boyhood
45,2014,The Grand Budapest Hotel
46,2014,The Imitation Game
47,2014,Selma
48,2014,The Theory of Everything
49,2014,Whiplash
50,2014,Birdman or (The Unexpected Virtue of Ignorance)
51,2013,Gravity
52,2013,American Hustle
53,2013,Dallas Buyers Club
54,2013,Her
55,2013,Philomena
56,2013,The Wolf of Wall Street
57,2013,Captain Phillips
58,2013,Nebraska
59,2013,12 Years a Slave
60,2012,Lincoln
61,2012,Zero Dark Thirty
62,2012,Les MisÃ©rables
63,2012,Life of Pi
64,2012,Silver Linings Playbook
65,2012,Django Unchained
66,2012,Amour
67,2012,Beasts of the Southern Wild
68,2012,Argo
69,2011,The Tree of Life
70,2011,The Help
71,2011,The Descendants
72,2011,Hugo
73,2011,Midnight in Paris
74,2011,Moneyball
75,2011,War Horse
76,2011,Extremely Loud & Incredibly Close
77,2011,The Artist
78,2010,The Social Network
79,2010,Inception
80,2010,127 Hours
81,2010,Black Swan
82,2010,The Fighter
83,2010,The Kids Are All Right
84,2010,Toy Story 3
85,2010,True Grit
86,2010,Winter’s Bone
87,2010,The King’s Speech
88,2009,Avatar
89,2009,The Blind Side
90,2009,District 9
91,2009,An Education
92,2009,Inglourious Basterds
93,2009,Precious: Based on the Novel Push by Sapphire
94,2009,A Serious Man
95,2009,Up
96,2009,Up in the Air
97,2009,The Hurt Locker
98,2008,Frost/Nixon
99,2008,Milk
100,2008,The Curious Case of Benjamin Button
101,2008,The Reader
102,2008,Slumdog Millionaire
103,2007,There Will Be Blood
104,2007,Atonement
105,2007,Juno
106,2007,Michael Clayton
107,2007,No Country for Old Men
108,2006,Babel
109,2006,Letters from Iwo Jima
110,2006,Little Miss Sunshine
111,2006,The Queen
112,2006,The Departed
113,2005,Brokeback Mountain
114,2005,Capote
115,2005,Good Night and Good Luck
116,2005,Munich
117,2005,Crash
118,2004,Finding Neverland
119,2004,Ray
120,2004,Sideways
121,2004,The Aviator
122,2004,Million Dollar Baby
123,2003,Lost in Translation
124,2003,Master and Commander
125,2003,Mystic River
126,2003,Seabiscuit
127,2003,The Lord of the Rings: The Return of the King
128,2002,The Pianist
129,2002,Gangs of New York
130,2002,The Hours
131,2002,The Lord of the Rings: The Two Towers
132,2002,Chicago
133,2001,The Lord of the Rings: The Fellowship of the Ring
134,2001,Gosford Park
135,2001,In the Bedroom
136,2001,Moulin Rouge
137,2001,A Beautiful Mind
138,2000,Chocolat
139,2000,Erin Brockovich
140,2000,Traffic
141,2000,Crouching Tiger Hidden Dragon
142,2000,Gladiator
143,1999,The Cider House Rules
144,1999,The Green Mile
145,1999,The Insider
146,1999,The Sixth Sense
147,1999,American Beauty
148,1998,Elizabeth
149,1998,Life is Beautiful
150,1998,Saving Private Ryan
151,1998,The Thin Red Line
152,1998,Shakespeare in Love
153,1997,Good Will Hunting
154,1997,As Good as It Gets
155,1997,L.A. Confidential
156,1997,The Full Monty
157,1997,Titanic
158,1996,Fargo
159,1996,Jerry Maguire
160,1996,Secrets & Lies
161,1996,Shine
162,1996,The English Patient
163,1995,Apollo 13
164,1995,Babe
165,1995,The Postman
166,1995,Sense and Sensibility
167,1995,Braveheart
168,1994,Pulp Fiction
169,1994,The Shawshank Redemption
170,1994,Four Weddings and a Funeral
171,1994,Quiz Show
172,1994,Forrest Gump
173,1993,In the Name of the Father
174,1993,The Fugitive
175,1993,The Piano
176,1993,The Remains of the Day
177,1993,Schindler's List
178,1992,A Few Good Men
179,1992,Howards End
180,1992,Scent of a Woman
181,1992,The Crying Game
182,1992,Unforgiven
183,1991,JFK
184,1991,Bugsy
185,1991,Beauty and the Beast
186,1991,The Prince of Tides
187,1991,The Silence of the Lambs
188,1990,The Godfather: Part III
189,1990,Awakenings
190,1990,Ghost
191,1990,Goodfellas
192,1990,Dances With Wolves
193,1989,Field of Dreams
194,1989,Born on the Fourth of July
195,1989,Dead Poets Society
196,1989,My Left Foot: The Story of Christy Brown
197,1989,Driving Miss Daisy
198,1988,Mississippi Burning
199,1988,Dangerous Liaisons
200,1988,The Accidental Tourist
201,1988,Working Girl
202,1988,Rain Man
203,1987,Broadcast News
204,1987,Fatal Attraction
205,1987,Hope and Glory
206,1987,Moonstruck
207,1987,The Last Emperor
208,1986,Hannah and Her Sisters
209,1986,A Room with a View
210,1986,Children of a Lesser God
211,1986,The Mission
212,1986,Platoon
213,1985,Kiss of the Spider Woman
214,1985,Prizzi’s Honor
215,1985,The Color Purple
216,1985,Witness
217,1985,Out of Africa
218,1984,A Passage to India
