,titles,years,imdb_ids
0,Parasite,2019,tt6751668
1,Green Book,2018,tt6966692
2,The Shape of Water,2017,tt5580390
3,Moonlight,2016,tt4975722
4,Spotlight,2015,tt1895587
5,Birdman or (The Unexpected Virtue of Ignorance),2014,tt2562232
6,12 Years a Slave,2013,tt2024544
7,Argo,2012,tt1024648
8,The Artist,2011,tt1655442
9,The King's Speech,2010,tt1504320
10,Slumdog Millionaire,2008,tt1010048
11,The Hurt Locker,2008,tt0887912
12,No Country for Old Men,2007,tt0477348
13,The Departed,2006,tt0407887
14,Million Dollar Baby,2004,tt0405159
15,Crash,2004,tt0375679
16,The Lord of the Rings: The Return of the King,2003,tt0167260
17,Chicago,2002,tt0299658
18,A Beautiful Mind,2001,tt0268978
19,Gladiator,2000,tt0172495
20,American Beauty,1999,tt0169547
21,Shakespeare in Love,1998,tt0138097
22,Titanic,1997,tt0120338
23,The English Patient,1996,tt0116209
24,Braveheart,1995,tt0112573
25,Forrest Gump,1994,tt0109830
26,Schindler's List,1993,tt0108052
27,Unforgiven,1992,tt0105695
28,The Silence of the Lambs,1991,tt0102926
29,Dances with Wolves,1990,tt0099348
30,Driving Miss Daisy,1989,tt0097239
31,Rain Man,1988,tt0095953
32,The Last Emperor,1987,tt0093389
33,Platoon,1986,tt0091763
34,Out of Africa,1985,tt0089755
35,Amadeus,1984,tt0086879
36,Terms of Endearment,1983,tt0086425
37,Gandhi,1982,tt0083987
38,Chariots of Fire,1981,tt0082158
39,Ordinary People,1980,tt0081283
40,Kramer vs. Kramer,1979,tt0079417
41,The Deer Hunter,1978,tt0077416
42,Annie Hall,1977,tt0075686
43,Rocky,1976,tt0075148
44,One Flew Over the Cuckoo's Nest,1975,tt0073486
45,The Godfather: Part II,1974,tt0071562
46,The Sting,1973,tt0070735
47,The Godfather,1972,tt0068646
48,The French Connection,1971,tt0067116
49,Patton,1970,tt0066206
50,Midnight Cowboy,1969,tt0064665
51,Oliver!,1968,tt0063385
52,In the Heat of the Night,1967,tt0061811
53,A Man for All Seasons,1966,tt0060665
54,The Sound of Music,1965,tt0059742
55,My Fair Lady,1964,tt0058385
56,Tom Jones,1963,tt0057590
57,Lawrence of Arabia,1962,tt0056172
58,West Side Story,1961,tt0055614
59,The Apartment,1960,tt0053604
60,Ben-Hur,1959,tt0052618
61,Gigi,1958,tt0051658
62,The Bridge on the River Kwai,1957,tt0050212
63,Around the World in 80 Days,1956,tt0048960
64,Marty,1955,tt0048356
65,On the Waterfront,1954,tt0047296
66,From Here to Eternity,1953,tt0045793
67,The Greatest Show on Earth,1952,tt0044672
68,An American in Paris,1951,tt0043278
69,All About Eve,1950,tt0042192
70,All the King's Men,1949,tt0041113
71,Hamlet,1948,tt0040416
72,Gentleman's Agreement,1947,tt0039416
73,The Best Years of Our Lives,1946,tt0036868
74,The Lost Weekend,1945,tt0037884
75,Going My Way,1944,tt0036872
76,Mrs. Miniver,1942,tt0035093
77,Casablanca,1942,tt0034583
78,How Green Was My Valley,1941,tt0033729
79,Rebecca,1940,tt0032976
80,Gone with the Wind,1939,tt0031381
81,You Can't Take It with You,1938,tt0030993
82,The Life of Emile Zola,1937,tt0029146
83,The Great Ziegfeld,1936,tt0027698
84,Mutiny on the Bounty,1935,tt0026752
85,It Happened One Night,1934,tt0025316
86,Cavalcade,1933,tt0023876
87,Grand Hotel,1932,tt0022958
88,Cimarron,1931,tt0021746
89,All Quiet on the Western Front,1930,tt0020629
90,The Broadway Melody,1929,tt0019729
91,Wings,1927,tt0018578
92,Sunrise: A Song of Two Humans,1927,tt0018455
